"arm","coef","truth","estimate","bias","emp_sd","ci_width","coverage"
"FULL","x1",2,1.99870999498513,-0.0012900050148712,0.0569618625482357,0.228747894489141,0.945
"CC","x1",2,1.88862518612556,-0.111374813874438,0.0877386292617433,0.354968010574805,0.78
"MI","x1",2,2.00316650329132,0.0031665032913164,0.0735875701060727,0.283216049350177,0.935
"PMM","x1",2,2.01345922299515,0.0134592229951513,0.077867304516056,0.311411641646076,0.945
"FULL","x2",-1,-0.998021128190996,0.0019788718090038,0.063094515583041,0.228130449832802,0.94
"CC","x2",-1,-0.950268375990522,0.0497316240094782,0.0884615559933702,0.335484910580671,0.88
"MI","x2",-1,-1.00534017448384,-0.0053401744838375,0.0787426965983206,0.290574637442865,0.91
"PMM","x2",-1,-0.98698426517016,0.0130157348298398,0.0823133872507809,0.331013918985947,0.95
"FULL","gb",1.5,1.50162516312351,0.00162516312350958,0.106885836458701,0.403587942390176,0.955
"CC","gb",1.5,1.42158561170144,-0.0784143882985566,0.149915801430199,0.61183232645014,0.93
"MI","gb",1.5,1.50336082947742,0.00336082947742344,0.1369219783056,0.538137190249125,0.945
"PMM","gb",1.5,1.51320085676242,0.0132008567624162,0.142817226216437,0.637005889917922,0.955
